ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number,shop_name,price,product_link
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,Perfumeclick.co.uk,£16.55 £55.17/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=f4da7fa11924b0b56a610f00df848b5d&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=1&price=16.55&productid=913912&sid=69736&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,cosmetify.com,£17.38 £57.93/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=9d87748243a5a45d4b506e6468858f95&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=2&price=17.38&productid=913912&sid=329503&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,Dressinn.com (UK),£17.99 £59.97/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=bb43df5b9e2024d1313184d11176985b&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=3&price=17.99&productid=913912&sid=318629&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,Amazon-marketplace.co.uk,£18.61 £62.03/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=2cf2179e22ff84a03fe07010713287b5&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=4&price=18.61&productid=913912&sid=22828&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,onbuy.com,£20.98 £69.93/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=73f0bfdfdd1a7a9f1ac4961620c3de24&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=5&price=20.98&productid=913912&sid=316895&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,ebay.co.uk,£26.95 £89.83/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=3c33507220112f5b302bafcb27b2fc88&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=6&price=26.95&productid=913912&sid=22818&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,amazon.co.uk,£30.29 £100.97/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=ac902701b619d698a877518fd4498e16&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=7&price=30.29&productid=913912&sid=12004&type=offer
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0,parfumdreams.co.uk,£34.59 £115.30/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=d5b2ce3c6d724b6408c12d8a80221340&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=8&price=34.59&productid=913912&sid=316458&type=offer
01-AF-FIB-PS100,ABERCROMBIE & FITCH FIRST INSTINCT BLUE EDP-S 100ML,85715167224.0,1000+,68.0,12.95,,,0.0,6379692.0,notino.co.uk,£22.00 £220.00/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=fd83da6a6dd57bd94fd39316739d4c18&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=1&price=22.00&productid=6379692&sid=307734&type=offer
01-AF-FIB-PS100,ABERCROMBIE & FITCH FIRST INSTINCT BLUE EDP-S 100ML,85715167224.0,1000+,68.0,12.95,,,0.0,6379692.0,Perfumeclick.co.uk,£24.20 £242.00/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=fd0a1cd118e3f63572033fd4f81f5e52&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=2&price=24.20&productid=6379692&sid=69736&type=offer
