ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number
01-4711-OG-CS300,4711 ORIGINAL EDC-S 300ML,4011700740055.0,1000+,24.0,9.95,,,0.0,913912.0
01-AF-FIB-PS100,ABERCROMBIE & FITCH FIRST INSTINCT BLUE EDP-S 100ML,85715167224.0,1000+,68.0,12.95,,,0.0,6379692.0
01-AFN-9AM-PS100,AFNAN 9AM POUR FEMME EDP-S 100ML,6290171072591.0,122,35.0,14.5,,,0.0,202338655.0
01-AFN-STR-PS90,AFNAN SUPREMACY TAPAIS ROUGE EXTRAIT DE PARFUM 90ML,6290171073949.0,17,50.0,21.95,,,0.0,203805982.0
01-AGP-AP-PS200,AGENT PROVOCATEUR EDP-S 200ML,85715710307.0,1000+,100.0,17.25,,,0.0,4828819.0
01-ALH-AM-PS100,AL HARAMAIN AMBER MUSK EDP-S 100ML,6291100130634.0,3,75.0,29.95,,,0.0,201982844.0
01-ALH-AOG-PS60,AL HARAMAIN AMBER OUD GOLD EDP-S 60ML,6291100131716.0,118,65.0,28.95,,,0.0,201434467.0
01-ALH-AOW-PS100,AL HARAMAIN AMBER OUD WHITE EDP-S 100ML,6291100130115.0,5,75.0,30.95,,,0.0,202160557.0
01-ALH-AOW-PS60,AL HARAMAIN AMBER OUD WHITE EDP-S 60ML,6291100131617.0,2,65.0,24.95,,,0.0,202052125.0
01-AP-MIR-RB10,A DI PARMA MIRTO DI PANAREA ROLLER BALL EDT 10ML,8028713572821.0,1000+,30.0,5.5,,,0.0,201400023.0
01-AR-BIY-PS100,ARMANI BECAUSE ITS YOU EDP-S 100ML,3605522041486.0,136,105.0,50.95,,,0.0,5577660.0
01-AR-COD-04056,ARMANI CODE WOMEN EDP-S 50ML,3360375004056.0,399,92.0,46.95,,,0.0,590909.0
01-AR-DIA-PS100,ARMANI EMPORIO DIAMONDS EDP-S 100ML,3605520380310.0,1000+,80.0,35.95,,,0.0,930402.0
01-AR-DIAR-TS50,ARMANI EMPORIO DIAMONDS ROSE EDT-S 50ML,3605521819987.0,464,47.0,23.95,,,0.0,3911744.0
01-AR-EMP-PS50,ARMANI EMPORIO SHE EDP-S 50ML,3614273070263.0,311,55.0,25.95,,,0.0,605674.0
01-AR-MW-PS15,ARMANI MY WAY EDP-S 15ML,3614272907744.0,28,48.0,13.5,,,0.0,201146079.0
